State,Lat,Long,MaxCovid
Florida,0.0,0.0,389052
Florida,25.20904673,-81.07812416,22919
Florida,25.6112362,-80.55170587,1552197
Florida,26.11091986,-81.34687065,106604
Florida,26.15184651,-80.48725556,774980
Florida,26.55386945,-81.16469006,13827
Florida,26.58410348,-81.88399313,243110
Florida,26.64676272,-80.46536002,481679
Florida,26.90131002,-81.92949121,48860
Florida,26.95635849,-81.18996211,2311
Florida,27.0772071,-80.43109784,40724
Florida,27.18546175,-82.33174248,122219
Florida,27.18677893,-81.80941373,11287
Florida,27.34254618,-81.34071957,30739
Florida,27.37763908,-80.47106649,96060
Florida,27.3863362,-80.88944347,12495
Florida,27.47196942,-82.31831044,123507
Florida,27.49293939,-81.80956574,10362
Florida,27.69308961,-80.60556721,42698
Florida,27.9276559,-82.32013172,479640
Florida,27.93130349,-82.72239666,277006
Florida,27.95027105,-81.69732947,260300
Florida,28.06312234,-81.14882926,144497
Florida,28.29409504,-80.73091022,175277
Florida,28.30810945,-82.40227529,159816
Florida,28.51367621,-81.31799498,475796
Florida,28.55364461,-82.42700204,53794
Florida,28.70181754,-82.0794267,30228
Florida,28.7158582,-81.24060348,132095
Florida,28.76202069,-81.7125123,109346
Florida,28.84804315,-82.47614748,39070
Florida,29.05858895,-81.18263252,151166
Florida,29.21227113,-82.05803627,105662
Florida,29.31829741,-82.74007147,12803
Florida,29.45933576,-81.31508595,29013
Florida,29.60631086,-83.15724673,4938
Florida,29.60779729,-81.74230285,21209
Florida,29.67866525,-82.35928158,89806
Florida,29.72856978,-82.79880657,5663
Florida,29.83791238,-84.82731662,3580
Florida,29.90096506,-81.43589967,78720
Florida,29.93543004,-85.2427099,5043
Florida,29.95079741,-82.16611613,9245
Florida,29.98319144,-81.85609986,67269
Florida,29.98484137,-83.18166636,3157
Florida,30.04412971,-82.37497443,5131
Florida,30.04848048,-83.60445406,8109
Florida,30.16548905,-84.39895211,12188
Florida,30.19746066,-82.9909967,16028
Florida,30.22509788,-82.62160164,25731
Florida,30.23766008,-84.8829258,2997
Florida,30.26548745,-85.62122584,56189
Florida,30.33060121,-82.28467476,10746
Florida,30.33225875,-81.66976468,319149
Florida,30.40666734,-85.19394153,4939
Florida,30.43669112,-83.89442308,5046
Florida,30.44396917,-83.47398594,7053
Florida,30.45955727,-84.27491114,114380
Florida,30.49673973,-82.94998918,4585
Florida,30.57796289,-84.61915825,17803
Florida,30.61037141,-81.80297522,27713
Florida,30.61359259,-85.66002461,7746
Florida,30.64204028,-86.16935664,20605
Florida,30.67652764,-87.37284571,98081
Florida,30.69143028,-86.59267105,62183
Florida,30.6934145,-87.02458128,59416
Florida,30.7954597,-85.21500423,18364
Florida,30.86747479,-85.81319222,6384
