State,Lat,Long,MaxCovid
Texas,0.0,0.0,101465
Texas,26.14524221,-97.48140372,135396
Texas,26.39418217,-98.18299696,267945
Texas,26.47411727,-97.61535848,8775
Texas,26.56150059,-98.73892358,24248
Texas,26.92601662,-97.66413984,104
Texas,27.00156391,-99.16987152,4522
Texas,27.03103197,-98.21808402,2083
Texas,27.04453923,-98.6968187,3805
Texas,27.42435506,-97.69894948,9297
Texas,27.68184592,-98.50864568,4364
Texas,27.73103938,-98.0904705,14214
Texas,27.736286,-97.5433285,119838
Texas,27.7610369,-99.33237355,111910
Texas,28.00880118,-97.51763891,14586
Texas,28.10556197,-96.9995047,5550
Texas,28.3238976,-97.15766311,2296
Texas,28.34453111,-99.09908775,2597
Texas,28.35101362,-98.1246786,2427
Texas,28.35251708,-98.56769164,186
Texas,28.41761668,-97.74215593,9990
Texas,28.42270064,-99.75645095,6204
Texas,28.47048236,-96.61633945,7082
Texas,28.65696592,-97.42760647,1567
Texas,28.7429195,-100.3157686,24188
Texas,28.79780988,-96.96813006,23239
Texas,28.81955746,-96.01230294,10324
Texas,28.86617238,-99.76050829,4539
Texas,28.86751206,-99.10804207,6685
Texas,28.89333001,-98.52730485,15748
Texas,28.90705334,-97.85960149,6403
Texas,28.95472367,-96.57749563,3991
Texas,29.08101855,-97.3568117,7311
Texas,29.1732598,-98.08693082,12865
Texas,29.18757369,-95.44563172,117112
Texas,29.27765923,-96.22319248,11597
Texas,29.34967888,-100.4186638,831
Texas,29.3557301,-99.11030298,12177
Texas,29.35739637,-99.76229172,11540
Texas,29.38508402,-96.93186692,4916
Texas,29.40167322,-94.90469073,120012
Texas,29.44928723,-98.52019748,698806
Texas,29.45634206,-97.49424032,5373
Texas,29.52704478,-95.77219463,245946
Texas,29.58165339,-97.94786822,45756
Texas,29.622098,-96.5273805,4592
Texas,29.70972016,-94.67154501,12877
Texas,29.74619598,-99.24598147,4317
Texas,29.80811278,-98.27647225,43326
Texas,29.81008251,-103.2520326,1365
Texas,29.83321503,-99.82018052,1023
Texas,29.83668859,-97.61814775,17753
Texas,29.85864939,-95.39339521,1275028
Texas,29.87788372,-96.92076062,5504
Texas,29.8832777,-94.16434171,63229
Texas,29.88548725,-96.27736949,7014
Texas,29.89149232,-101.1525205,15879
Texas,29.94414155,-98.7113588,9830
Texas,29.98202582,-100.304252,584
Texas,29.99954402,-104.2408079,1215
Texas,30.01058447,-95.99011759,11642
Texas,30.05669873,-98.02944344,78740
Texas,30.06040006,-99.34930144,11089
Texas,30.10370699,-97.31206354,27354
Texas,30.11879481,-93.89412775,17274
Texas,30.15152688,-94.81205615,22288
Texas,30.21498498,-96.40946246,11037
Texas,30.22429013,-102.0766732,141
Texas,30.26640707,-98.3999852,3221
Texas,30.30079133,-95.50572772,172263
Texas,30.31120597,-96.97045773,5254
Texas,30.31824095,-98.94676915,6290
Texas,30.33364686,-94.38931817,14666
Texas,30.33432034,-97.7853562,334125
Texas,30.48678918,-99.74856473,939
Texas,30.49273808,-96.62158484,6131
Texas,30.49856623,-100.5382014,943
Texas,30.54579585,-95.98902499,10216
Texas,30.57933681,-95.16260304,6750
Texas,30.64655664,-97.6004854,170638
Texas,30.6636448,-96.30205577,75241
Texas,30.70645047,-98.68475262,5125
Texas,30.71490589,-104.1399973,278
Texas,30.71780434,-99.22629416,1059
Texas,30.72367027,-101.4134238,1397
Texas,30.73872995,-95.57440968,22514
Texas,30.74685667,-94.02667579,8235
Texas,30.77031716,-94.37690895,5192
Texas,30.78097267,-102.7241261,3642
Texas,30.78548982,-93.74408813,1756
Texas,30.7858183,-96.97718698,6024
Texas,30.78801353,-98.181887,13620
Texas,30.79472531,-94.8276624,9374
Texas,30.88990665,-99.8204794,658
Texas,30.89740592,-100.5384842,601
Texas,30.96694679,-95.93003775,4330
Texas,31.02539637,-96.51272246,5392
Texas,31.03736027,-97.4785025,86419
Texas,31.0879489,-95.1367187,3268
Texas,31.1577796,-98.81758731,1503
Texas,31.1925468,-99.34682807,1957
Texas,31.19531316,-98.24206613,6392
Texas,31.25350609,-96.93630086,4498
Texas,31.25457347,-94.60901487,17089
Texas,31.29872538,-95.9936328,4321
Texas,31.30375559,-100.982439,605
Texas,31.31925973,-95.42226208,5013
Texas,31.32323325,-103.6903896,5644
Texas,31.32635934,-99.86473038,1402
Texas,31.34318809,-93.85440451,1536
Texas,31.36607041,-101.5232659,999
Texas,31.36868194,-102.0423217,963
Texas,31.39078397,-97.79936155,21396
Texas,31.39457611,-94.17000399,1222
Texas,31.40464436,-100.462443,41194
Texas,31.43052248,-102.5143314,1555
Texas,31.44506775,-104.5185739,558
Texas,31.45628381,-105.388178,1173
Texas,31.49557106,-98.59272068,1622
Texas,31.50999644,-103.0927909,3328
Texas,31.5454767,-96.58095444,6117
Texas,31.55255453,-97.20217694,75252
Texas,31.62017125,-94.61803994,15006
Texas,31.70422788,-96.15072516,4320
Texas,31.70470573,-98.11083887,2112
Texas,31.76736834,-99.45240766,2090
Texas,31.76980765,-106.2363275,256001
Texas,31.77430356,-98.99907113,15286
Texas,31.79211404,-94.14550696,5401
Texas,31.81534745,-95.65354823,10975
Texas,31.82781912,-101.0500746,332
Texas,31.8314342,-99.97616148,2756
Texas,31.837258,-95.16559897,9901
Texas,31.84947612,-103.5818571,403
Texas,31.85008651,-103.0485163,2226
Texas,31.86898877,-102.5429428,44146
Texas,31.86904128,-102.0315682,48100
Texas,31.86942909,-101.5207776,234
Texas,31.88911733,-100.5297533,1083
Texas,31.89978581,-97.63613524,4896
Texas,31.94854689,-98.55876441,4047
Texas,31.99045053,-97.13423143,10221
Texas,32.04620681,-96.47428766,14507
Texas,32.10773545,-94.76176432,12738
Texas,32.1639596,-94.30552481,5801
Texas,32.21128872,-95.85846587,18557
