RecordDate,Max. CovidPositives
1/1/2021,2434974
1/1/2022,5519702
1/1/2023,11835336
1/10/2021,2815867
1/10/2022,6390686
1/10/2023,11915932
1/11/2021,2853985
1/11/2022,6542526
1/11/2023,11918811
1/12/2021,2892918
1/12/2022,6655720
1/12/2023,11920072
1/13/2021,2930185
1/13/2022,6804126
1/13/2023,11934565
1/14/2021,2973019
1/14/2022,6870330
1/14/2023,11934681
1/15/2021,3014496
1/15/2022,6914194
1/15/2023,11934802
1/16/2021,3055886
1/16/2022,7121304
1/16/2023,11934976
1/17/2021,3085760
1/17/2022,7222959
1/17/2023,11946858
1/18/2021,3111576
1/18/2022,7302657
1/18/2023,11951728
1/19/2021,3136350
1/19/2022,7430650
1/19/2023,11958712
1/2/2021,2481297
1/2/2022,5567236
1/2/2023,11835778
1/20/2021,3157509
1/20/2022,7565031
1/20/2023,11960482
1/21/2021,3180759
1/21/2022,7643172
1/21/2023,11960609
1/22/2020,0
1/22/2021,3203927
1/22/2022,7683980
1/22/2023,11960726
1/23/2020,0
1/23/2021,3228226
1/23/2022,7863053
1/23/2023,11961071
1/24/2020,0
1/24/2021,3254114
1/24/2022,7971154
1/24/2023,11975958
1/25/2020,0
1/25/2021,3271191
1/25/2022,8064057
1/25/2023,11977492
1/26/2020,2
1/26/2021,3289772
1/26/2022,8128539
1/26/2023,11983280
1/27/2020,2
1/27/2021,3307444
1/27/2022,8216891
1/27/2023,11985829
1/28/2020,2
1/28/2021,3327903
1/28/2022,8257065
1/28/2023,11985973
1/29/2020,2
1/29/2021,3347681
1/29/2022,8279645
1/29/2023,11986133
1/3/2021,2512668
1/3/2022,5707212
1/3/2023,11866824
1/30/2020,2
1/30/2021,3367408
1/30/2022,8393061
1/30/2023,11986537
1/31/2020,3
1/31/2021,3383758
1/31/2022,8440728
1/31/2023,12001858
1/4/2021,2549563
1/4/2022,5790075
1/4/2023,11869511
1/5/2021,2584826
1/5/2022,5848711
1/5/2023,11880625
1/6/2021,2623944
1/6/2022,5963266
1/6/2023,11887061
1/7/2021,2675592
1/7/2022,6024708
1/7/2023,11887284
1/8/2021,2728276
1/8/2022,6061714
1/8/2023,11887490
1/9/2021,2776975
1/9/2022,6259048
1/9/2023,11893010
10/1/2020,824977
10/1/2021,4744548
10/1/2022,11269950
10/10/2020,856819
10/10/2021,4801958
10/10/2022,11299971
10/11/2020,860192
10/11/2021,4806881
10/11/2022,11314306
10/12/2020,862829
10/12/2021,4812405
10/12/2022,11315345
10/13/2020,865701
10/13/2021,4816879
10/13/2022,11321537
10/14/2020,869185
10/14/2021,4822382
10/14/2022,11323324
10/15/2020,872473
10/15/2021,4825733
10/15/2022,11323445
10/16/2020,875677
10/16/2021,4825956
10/16/2022,11323583
10/17/2020,878695
10/17/2021,4839567
10/17/2022,11325417
10/18/2020,882136
10/18/2021,4845183
10/18/2022,11336287
10/19/2020,885535
10/19/2021,4850014
10/19/2022,11338826
10/2/2020,829122
10/2/2021,4746139
10/2/2022,11270097
10/20/2020,889413
10/20/2021,4855900
10/20/2022,11343725
10/21/2020,892595
10/21/2021,4862713
10/21/2022,11345386
10/22/2020,898964
10/22/2021,4864784
10/22/2022,11345507
10/23/2020,905183
10/23/2021,4866181
10/23/2022,11345649
10/24/2020,910428
10/24/2021,4867326
10/24/2022,11350134
10/25/2020,913388
10/25/2021,4887288
10/25/2022,11361513
10/26/2020,916782
10/26/2021,4892408
10/26/2022,11363028
10/27/2020,921479
10/27/2021,4897982
10/27/2022,11368145
10/28/2020,925861
10/28/2021,4905583
10/28/2022,11370022
10/29/2020,930253
10/29/2021,4908137
10/29/2022,11370157
10/3/2020,833380
10/3/2021,4760960
