Province,MaxCovid
Alabama,1644533
Alaska,307655
American Samoa,8320
Arizona,2443514
Arkansas,1006883
California,12129699
Colorado,1764401
Connecticut,976657
Delaware,330793
Diamond Princess,49
District of Columbia,177945
Florida,7574590
Georgia,3055798
Grand Princess,103
Guam,61027
Hawaii,380608
Idaho,521120
Illinois,4083289
Indiana,2051104
Iowa,903991
Kansas,938184
Kentucky,1718471
Louisiana,1573810
Maine,318130
Maryland,1365297
Massachusetts,2224337
Michigan,3054434
Minnesota,1778866
Mississippi,990756
Missouri,1777380
Montana,329386
Nebraska,567426
Nevada,890122
New Hampshire,378428
New Jersey,3048984
New Mexico,670929
New York,6794738
North Carolina,3472644
North Dakota,286950
Northern Mariana Islands,13666
Ohio,3400652
Oklahoma,1290929
Oregon,963564
Pennsylvania,3527854
Puerto Rico,1101035
Rhode Island,460697
South Carolina,1836568
South Dakota,279130
Tennessee,2471827
Texas,8466220
Utah,1090346
Vermont,152618
Virgin Islands,24813
Virginia,2291951
Washington,1928913
West Virginia,642760
Wisconsin,2006582
Wyoming,185385
